"Labour force characteristics by gender and detailed age group, annual 1 2 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 14-10-0327-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geography 4,Newfoundland and Labrador,,,,,,,,Prince Edward Island,,,,,,,,Nova Scotia,,,,,,,,New Brunswick,,,,,,,,Quebec,,,,,,,,Ontario,,,,,,,,Manitoba,,,,,,,,Saskatchewan,,,,,,,,Alberta,,,,,,,,British Columbia,,,,,,,
,Labour force characteristics,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,,Employment 7,,,,Unemployment rate 8,,,
Gender 5 6,Age group,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025,2022,2023,2024,2025
,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,,Persons in thousands,,,,Percent,,,
Total - Gender,15 years and over,234.2,238.3,245,244.8,11.3,9.9,10,10.1,84.1,89.3,92.5,93.5,7.7,7.2,8,8,492.1,505.3,521.3,523.5,6.6,6.4,6.5,6.6,375.6,388.6,400,405.2,7.2,6.6,7,7.1,"4,392.00","4,522.80","4,566.00","4,644.80",4.3,4.5,5.3,5.6,"7,764.10","8,006.10","8,146.10","8,227.00",5.6,5.6,7,7.7,687.9,706.8,724.4,736.2,4.5,4.9,5.4,5.9,577.8,587,602.2,617.4,4.6,4.7,5.4,5.2,"2,356.00","2,442.60","2,518.90","2,590.10",5.8,5.9,7,7.2,"2,775.70","2,847.90","2,914.00","2,946.20",4.6,5.2,5.6,6.2
,15 to 24 years,29.3,28.7,30.2,29.5,14.6,14.6,14.2,16.4,12.8,13.8,14.4,14.6,11.7,11.5,11.1,10.9,67.3,66.2,67.9,66.7,11.4,12,12.1,13,49.6,51.5,51.3,50.1,11.9,11.7,11.7,14.9,576.4,607.1,607.4,623.4,7.6,7.4,9.5,9.7,"1,015.20","1,035.00","1,028.50","1,054.20",11.4,12.5,15.7,16,111.3,111.9,113.5,110.3,8.3,9.5,10.6,11.9,78.9,79.7,81.7,84.1,8.1,9.6,11.5,11.9,304,307.2,322.8,335.4,11,12.2,14.5,15.7,359.4,363.1,364.8,351.8,8.9,9.6,11.4,13.4
,25 years and over,204.9,209.6,214.8,215.2,10.8,9.3,9.3,9.2,71.4,75.5,78,78.9,7,6.4,7.4,7.4,424.8,439.1,453.5,456.8,5.7,5.4,5.6,5.6,326,337.1,348.6,355.1,6.4,5.8,6.3,5.9,"3,815.60","3,915.80","3,958.60","4,021.40",3.8,4,4.6,4.9,"6,748.90","6,971.10","7,117.70","7,172.80",4.6,4.5,5.5,6.3,576.6,594.8,610.9,625.9,3.8,4,4.4,4.7,498.9,507.2,520.6,533.3,4.1,3.9,4.4,4,"2,052.00","2,135.40","2,196.10","2,254.70",5,4.9,5.8,5.8,"2,416.30","2,484.90","2,549.30","2,594.40",4,4.5,4.7,5.1
,25 to 44 years,94.6,96.2,101.5,100.9,9,8.3,8.2,8.5,34.3,37.3,39.4,41.5,5.5,5.6,7.1,7.2,206.6,221.5,232.3,237.1,5.6,5.5,6.3,5.7,152.7,162.7,170.4,176.1,5.9,5.2,6.6,5.9,"1,957.70","2,000.20","2,035.40","2,077.30",3.7,4.1,5,5.1,"3,501.90","3,663.30","3,814.40","3,900.30",4.9,5.1,6.4,7,308,321.1,338.2,347.4,3.8,4.3,4.8,5.1,260.4,267.4,276.8,283.1,4.2,4.4,4.7,4.5,"1,113.50","1,167.40","1,224.20","1,255.20",5,5.3,5.9,6.2,"1,284.40","1,336.30","1,383.40","1,425.80",4.1,4.9,5.4,5.8
,45 to 64 years,98.1,100.4,99.9,100,11.8,9.9,10.2,9.6,31.8,32.4,32.7,31.7,7.6,6.9,7.4,7.6,190.8,189,190.2,187.4,5.6,5.3,4.9,5.6,154.2,155.4,157.7,156.4,6.6,5.9,5.7,5.9,"1,660.90","1,697.80","1,691.00","1,703.80",3.8,3.8,4.2,4.7,"2,861.70","2,899.30","2,881.60","2,828.30",4.3,3.9,4.6,5.8,238.2,238,238.4,239.9,3.7,3.7,4,4.2,204.3,205.1,208,211.4,3.9,3.5,3.9,3.8,834.8,849.5,849.4,875.1,5,4.4,5.8,5.5,985,994.7,"1,006.90","1,000.10",3.9,4.2,3.9,4.4
,45 years and over,110.3,113.4,113.3,114.3,12.3,10.1,10.3,9.8,37.1,38.2,38.6,37.4,8.2,7,7.7,7.7,218.3,217.6,221.2,219.7,5.8,5.4,4.9,5.4,173.3,174.4,178.2,178.9,6.9,6.2,6,6,"1,857.90","1,915.60","1,923.10","1,944.10",3.9,3.9,4.2,4.7,"3,246.90","3,307.80","3,303.30","3,272.50",4.3,3.9,4.5,5.5,268.7,273.7,272.7,278.5,3.7,3.6,4,4.3,238.5,239.8,243.8,250.3,3.9,3.4,4.1,3.6,938.5,968,972,999.6,5.1,4.5,5.6,5.3,"1,131.90","1,148.60","1,165.90","1,168.60",3.8,4.1,3.9,4.3
,25 to 54 years,149.8,152.7,156.4,156.1,8.9,7.8,8.3,8.4,51.6,54,56.6,58.8,5.5,5.9,6.9,6.8,305.7,322.2,334.4,337.8,5.3,5.2,5.6,5.6,235.8,247.5,255.6,263.6,5.7,5.1,6,5.6,"2,868.40","2,925.30","2,972.20","3,043.00",3.5,3.8,4.6,4.8,"5,062.60","5,244.60","5,393.40","5,449.10",4.6,4.7,5.8,6.7,443.3,456.9,477.4,487.9,3.6,4.1,4.4,4.8,370.4,379.2,392.9,404.6,4,4.1,4.6,4.2,"1,594.40","1,651.80","1,719.90","1,773.40",4.7,4.9,5.7,5.9,"1,824.10","1,885.00","1,935.30","1,986.10",4,4.5,4.9,5.3
